test,testen Anglais,
HeaderClubs,Clubs,
HeaderCours,My courses,
HeaderProfil,Profile,
HeaderHistory,History,
HeaderDeconnexion,Log off,
SheduleLangue,en,
SheduleTitleMyCourses,My courses,
SheduleTitlePopUpPerso,Your sports class: ,
ShedulePrestation,Service,
SheduleCoach,Coach,
SheduleClient,Service
SheduleTitleCoachCourses,Coach's calendar,
SheduleCoachAdd,Reserve the :,
SheduleCoachReplace,Replace the slot for :,
SheduleCoachNotAvailable,The coach does not work during these times or the selected time has already passed.,
Book,Book,
Update,Update,
Delete,Delete,
Cancel,Cancel,